473117631,1190591289,4195009329,1655563,3044976018
686742541,2442751557,111100269,2873719,1859767094
3936608102,2241086579,1530088146,3875237,160371907
429368732,2232796172,826717806,3922382,195505130
3414235068,426951204,1326774769,3875157,2881328320
28079807,941194785,4217474389,3406192,1304693410
2063691492,863824893,2049789619,4590023,3896505481
229989122,1965259106,794492430,6522078,3107168032
2829269102,1764696724,3459078045,11197046,3810293520
2378590041,1181874419,3491996797,6917193,2367443552
3459216130,2468427730,3132472663,309994,2664364751
1889203611,971153223,2959809732,9960225,3618840061
3514595015,894495145,2300021471,3952467,148963558
2643986472,2582107487,4145375157,1287282,2437736771
2729029026,317533742,191633417,3438253,1921225806
2298415007,2754637254,3300178122,2865088,2412770098
2872362692,1937898570,89239405,2545481,1349141671
3974196056,1802172743,2942805257,258742,1210507513
4035434736,1772507623,383856861,466109,3740730870
2009316361,4078905885,757730086,4580938,406027842
2981105304,3665597892,2275105354,6873458,1015761345
2998473393,2983326728,1224921579,1309225,4095380310
142791764,2219217253,2033693367,169193,3184638303
3086508162,4248537050,1938262468,2514886,2135233780
3315472347,1161711152,1469540914,2240756,3958492422
4194373770,2436630147,3046387540,1182254,42937424
794287439,3719447372,2510789419,1486799,985817764
1551611562,3131045971,1604942580,6143510,2932090774
659008860,3142616860,150966409,2405762,3487846217
1068192417,156581019,2711456941,659233,1096143881
1840786157,3593152893,3945187654,966167,386984034
3825594634,551565819,639362682,1066030,352935779
1018576201,715054664,1835081995,16043119,3095977758
717768409,3254610650,4172766595,826327,1688142108
2658173850,2759950229,1429037406,2192558,2338212389
101071836,484409732,1085488957,7281199,2070706173
173017763,913676686,937299646,249247,1014822635
1654783309,3655227045,743986668,4747729,2599160948
1988707538,1543618217,3611506637,1531625,1863610460
2494021422,1865530903,3284572189,7862759,3291850621
2319555727,3041942120,3009158769,502773,898431377
1062579160,2413436839,2442811563,186325,1095858529
2835815078,1621089095,2510271596,9892411,4162225713
4211900160,4057335338,2122003935,1284455,3399735399
2585053881,582403809,994223856,4240413,414499929
3131087105,1055729203,39338709,5257259,1386595799
3968809724,3124618722,4209549123,1784434,1247231335
2410711,3608209583,1630076589,7961766,35219943
2414180791,2529498637,1913722520,2434807,3233830575
258732873,3777735584,527004975,6446962,2524758493
4107033900,2474944401,2203541589,1639266,314418497
1568390015,3956475291,2285593113,2122651,3344025617
3673696970,4225969221,3784753195,5078912,3778287205
1669067500,2160628248,1141918793,1121162,1241896964
2371625735,2623626985,2953073331,615067,712793497
439289379,650148115,1828245146,3975057,3518376340
1657109886,3446156881,3539272482,4093228,2236202531
3998847493,910143549,726607935,2668729,289092810
554845905,2056241386,91232957,6667691,385379897
1982237293,2023579063,794690334,443768,74367733
1110394678,326190570,3749750723,4665534,1590337071
1511291571,657139863,3659797146,6987369,3943962040
1109477094,3898942290,2480354313,4783833,1283121493
1216014104,2710793576,3464111365,3469391,3368048438
189979583,4091711136,3475385508,15154832,3023587795
3570597403,3601786318,2536489846,4506782,3164565945
324024253,3512641650,3872355749,3610348,2201492320
982383381,1990659317,1382588904,3245893,3778996914
4064315158,2473351906,3483292810,823994,546561972
3387067319,2473412453,1538433559,2023626,4211347142
1298482479,3951657966,1840016405,3213257,2684174464
1533652636,1154011477,3393655990,201829,2160192420
2404930110,1846603478,3750230033,7268523,2829818694
2409627586,1072720298,3406166445,4808796,2811112007
2856761314,923793102,2855388329,4629466,2828435686
2180862191,299263848,1571464903,7959643,3718863653
3763327883,3642721064,2891394782,927690,501962297
1926384142,189544391,81987591,2678502,694061912
1042575825,2710842316,3573913120,12059989,2062628084
2750295537,1145730503,3411550960,62066,2959556716
